linha,id_onibus,timestamp,lat,lon,is_eletrico
637P-10,76354,2025-08-28T15:25:41Z,-23.583012,-46.6831995,True
637P-10,76960,2025-08-28T15:25:33Z,-23.58019375,-46.6850195,False
637P-10,76373,2025-08-28T15:25:11Z,-23.587723500000003,-46.671594,True
637P-10,76048,2025-08-28T15:25:28Z,-23.566328499999997,-46.7019335,False
637P-10,76051,2025-08-28T15:25:03Z,-23.6541465,-46.711351,False
637P-10,76092,2025-08-28T15:25:42Z,-23.6541465,-46.711351,True
637P-10,76356,2025-08-28T15:25:25Z,-23.6541465,-46.711351,False
637P-10,76964,2025-08-28T15:25:23Z,-23.6541465,-46.711351,False
637P-10,76053,2025-08-28T15:25:36Z,-23.625686,-46.686795249999996,True
6118-10,66507,2025-08-28T15:25:42Z,-23.7027885,-46.701808,False
6118-10,66865,2025-08-28T15:25:39Z,-23.752625000000002,-46.7028335,True
6118-10,66580,2025-08-28T15:25:28Z,-23.653906999999997,-46.710535500000006,False
6118-10,66795,2025-08-28T15:25:21Z,-23.734783,-46.7116455,True
6118-10,66928,2025-08-28T15:25:42Z,-23.752625000000002,-46.7028335,False
6118-10,66439,2025-08-28T15:25:16Z,-23.752625000000002,-46.7028335,True
6118-10,66700,2025-08-28T15:25:13Z,-23.7435925,-46.7066275,True
745M-10,85867,2025-08-28T15:25:35Z,-23.672288,-46.742709000000005,True
745M-10,85860,2025-08-28T15:25:04Z,-23.660220000000002,-46.776787,True
745M-10,85853,2025-08-28T15:25:01Z,-23.630817,-46.767892,False
745M-10,85862,2025-08-28T15:25:42Z,-23.630699,-46.768204,False
745M-10,85873,2025-08-28T15:25:21Z,-23.640573000000003,-46.780058,False
745M-10,85866,2025-08-28T15:25:02Z,-23.67768475,-46.69717025,False
745M-10,85577,2025-08-28T15:25:03Z,-23.630817,-46.767892,False
745M-10,85863,2025-08-28T15:25:16Z,-23.631020250000002,-46.76738775,True
745M-10,85575,2025-08-28T15:25:03Z,-23.630928500000003,-46.767601,False
745M-10,85859,2025-08-28T15:25:02Z,-23.66925925,-46.76523725,False
3063-1,48329,2025-08-28T15:25:27Z,-23.5591695,-46.3996545,True
3063-1,48132,2025-08-28T15:25:36Z,-23.5951315,-46.432561,True
