hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63503,-46.68782775,-23.590926500000002,2025-09-12 14:42:17+00:00
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63532,-46.687904,-23.625837500000003,2025-09-12 14:41:38+00:00
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63523,-46.698228,-23.6210405,2025-09-12 14:42:05+00:00
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63524,-46.689041,-23.591914000000003,2025-09-12 14:42:12+00:00
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63051,-46.6873225,-23.590769,2025-09-12 14:41:57+00:00
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63505,-46.6877415,-23.589897999999998,2025-09-12 14:42:12+00:00
11:42:00,1977,607C-10,ITAIM BIBI - JD. MIRIAM,63536,-46.6330985,-23.684418,2025-09-12 14:42:02+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31093,-46.4074105,-23.583284,2025-09-12 14:41:39+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31594,-46.448114000000004,-23.5945315,2025-09-12 14:42:05+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31590,-46.429195,-23.595076374999998,2025-09-12 14:42:15+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31267,-46.45563,-23.5963105,2025-09-12 14:41:40+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31235,-46.552115,-23.535607624999997,2025-09-12 14:41:55+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31852,-46.407171,-23.5825065,2025-09-12 14:42:15+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31092,-46.6300155,-23.547058,2025-09-12 14:41:38+00:00
11:42:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31253,-46.52444,-23.549256,2025-09-12 14:41:35+00:00
